priority	ID	population	family	individual	alive2010	alive2011	alive2012	flowered2010	flowered2011	flowered2012	siliques2010	rosettes2010	diamf2010	siliques2010all	siliques2011	rosettes2011	diamf2011	siliques2011all	siliques2012	rosettes2012	diamf2012	siliques2012all	siliques20102012sumall			
1	E3-1-1	E3	1	1	1	1	1	0	1	1	0	3	4	0	493	NA	NA	493	852	16	14	852	1345			
1	E3-1-2	E3	1	2	1	1	1	0	1	1	0	1	8	0	221	12	9	221	1673	30	16	1673	1894			
1	E3-1-3	E3	1	3	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-1-4	E3	1	4	1	0	0	0	NA	NA	0	1	3	0	0	0	NA	0	0	0	NA	0	0			
1	E3-1-5	E3	1	5	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-1-6	E3	1	6	1	1	1	0	1	1	0	3	5	0	84	8	3	84	268	18	9	268	352			
1	E3-1-7	E3	1	7	1	1	0	0	1	NA	0	1	2	0	14	3	3	14	0	0	NA	0	14			
1	E3-1-8	E3	1	8	1	1	1	0	1	1	0	4	4	0	35	7	5	35	105	18	7	105	140			
1	E3-1-9	E3	1	9	1	1	1	0	1	1	0	2	3	0	85	6	5	85	35	16	5	35	120			
1	E3-1-10	E3	1	10	1	1	1	0	1	1	0	1	3	0	100	18	17	100	976	40	14	976	1076			
1	E3-2-1	E3	2	1	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-2-2	E3	2	2	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-2-3	E3	2	3	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-2-4	E3	2	4	1	0	0	0	NA	NA	0	2	3	0	0	0	NA	0	0	0	NA	0	0			
1	E3-2-5	E3	2	5	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-2-6	E3	2	6	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-2-7	E3	2	7	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-2-8	E3	2	8	1	1	1	0	1	1	0	1	3	0	163	10	11	163	776	40	20	776	939			
1	E3-2-9	E3	2	9	1	1	0	0	1	NA	0	4	4	0	30	5	3	30	0	0	NA	0	30			
1	E3-2-10	E3	2	10	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-3-1	E3	3	1	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-3-2	E3	3	2	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-3-3	E3	3	3	1	1	1	0	1	1	0	6	1	0	969	35	11	969	1286	NA	NA	1286	2255			
1	E3-3-4	E3	3	4	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-3-5	E3	3	5	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-3-6	E3	3	6	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-3-7	E3	3	7	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-3-8	E3	3	8	1	0	0	0	NA	NA	0	5	4	0	0	0	NA	0	0	0	NA	0	0			
1	E3-3-9	E3	3	9	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-3-10	E3	3	10	1	1	1	0	1	1	0	5	4	0	325	17	9	325	126	30	12	126	451			
1	E3-4-1	E3	4	1	1	1	1	0	1	1	0	7	3	0	225	NA	NA	225	1169	35	14	1169	1394			
1	E3-4-2	E3	4	2	1	0	0	0	NA	NA	0	1	2	0	0	0	NA	0	0	0	NA	0	0			
1	E3-4-3	E3	4	3	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-4-4	E3	4	4	1	1	1	0	1	1	0	11	6	0	148	35	13	148	421	NA	NA	421	569			
1	E3-4-5	E3	4	5	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-4-6	E3	4	6	1	0	0	0	NA	NA	0	4	1	0	0	0	NA	0	0	0	NA	0	0			
1	E3-4-7	E3	4	7	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-4-8	E3	4	8	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-4-9	E3	4	9	1	0	0	0	NA	NA	0	1	3	0	0	0	NA	0	0	0	NA	0	0			
1	E3-4-10	E3	4	10	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-5-1	E3	5	1	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-5-2	E3	5	2	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-5-3	E3	5	3	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-5-4	E3	5	4	1	0	0	0	NA	NA	0	4	3	0	0	0	NA	0	0	0	NA	0	0			
1	E3-5-5	E3	5	5	1	1	1	0	1	1	0	5	3	0	17	6	4	17	165	18	8	165	182			
1	E3-5-6	E3	5	6	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-5-7	E3	5	7	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-5-8	E3	5	8	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-5-9	E3	5	9	1	1	1	0	1	1	0	7	4	0	528	19	11	528	898	50	14	898	1426			
1	E3-5-10	E3	5	10	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-6-1	E3	6	1	1	1	1	0	1	1	0	5	5	0	521	NA	NA	521	887	50	20	887	1408			
1	E3-6-2	E3	6	2	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-6-3	E3	6	3	1	1	1	0	1	1	0	11	6	0	689	23	6	689	937	NA	NA	937	1626			
1	E3-6-4	E3	6	4	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-6-5	E3	6	5	1	0	0	0	NA	NA	0	1	2	0	0	0	NA	0	0	0	NA	0	0			
1	E3-6-6	E3	6	6	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-6-7	E3	6	7	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-6-8	E3	6	8	1	1	1	0	1	1	0	6	5	0	408	13	6	408	1752	50	22	1752	2160			
1	E3-6-9	E3	6	9	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-6-10	E3	6	10	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-7-1	E3	7	1	1	1	1	0	1	1	0	1	5	0	257	NA	NA	257	559	16	10	559	816			
1	E3-7-2	E3	7	2	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-7-3	E3	7	3	1	0	0	0	NA	NA	0	1	3	0	0	0	NA	0	0	0	NA	0	0			
1	E3-7-4	E3	7	4	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-7-5	E3	7	5	1	1	1	0	1	1	0	1	3	0	24	3	1,5	24	350	NA	NA	350	374			
1	E3-7-6	E3	7	6	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-7-7	E3	7	7	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-7-8	E3	7	8	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-7-9	E3	7	9	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-7-10	E3	7	10	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-8-1	E3	8	1	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-8-2	E3	8	2	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-8-3	E3	8	3	1	0	0	0	NA	NA	0	7	8	0	0	0	NA	0	0	0	NA	0	0			
1	E3-8-4	E3	8	4	1	1	1	0	1	1	0	3	8	0	801	11	3	801	1201	NA	NA	1201	2002			
1	E3-8-5	E3	8	5	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-8-6	E3	8	6	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-8-7	E3	8	7	1	1	1	0	1	1	0	3	5	0	443	12	12	443	1462	20	20	1462	1905			
1	E3-8-8	E3	8	8	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-8-9	E3	8	9	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-8-10	E3	8	10	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-9-1	E3	9	1	1	1	1	0	1	1	0	4	5	0	160	NA	NA	160	830	40	16	830	990			
1	E3-9-2	E3	9	2	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-9-3	E3	9	3	1	1	1	0	1	1	0	1	4	0	233	18	12	233	815	NA	NA	815	1048			
1	E3-9-4	E3	9	4	1	1	1	0	1	1	0	9	5	0	510	27	11	510	765	NA	NA	765	1275			
1	E3-9-5	E3	9	5	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-9-6	E3	9	6	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-9-7	E3	9	7	1	1	1	0	1	1	0	4	3	0	60	4	3	60	388	22	5	388	448			
1	E3-9-8	E3	9	8	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-9-9	E3	9	9	1	1	1	0	1	1	0	2	3	0	46	10	4	46	1104	30	17	1104	1150			
1	E3-9-10	E3	9	10	1	1	1	0	1	1	0	3	3	0	88	8	9	88	655	30	20	655	743			
1	E3-10-1	E3	10	1	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-10-2	E3	10	2	1	0	0	0	NA	NA	0	1	3	0	0	0	NA	0	0	0	NA	0	0			
1	E3-10-3	E3	10	3	1	1	1	0	1	1	0	5	5	0	205	13	8	205	398	NA	NA	398	603			
1	E3-10-4	E3	10	4	1	1	1	0	1	1	0	1	3	0	394	21	8	394	591	NA	NA	591	985			
1	E3-10-5	E3	10	5	1	1	1	0	1	1	0	4	4	0	69	9	7	69	385	24	16	385	454			
1	E3-10-6	E3	10	6	1	0	0	0	NA	NA	0	6	6	0	0	0	NA	0	0	0	NA	0	0			
1	E3-10-7	E3	10	7	1	1	1	0	1	1	0	1	4	0	109	8	7	109	452	35	14	452	562			
1	E3-10-8	E3	10	8	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-10-9	E3	10	9	1	0	0	0	NA	NA	0	1	3	0	0	0	NA	0	0	NA	NA	0	0			
1	E3-10-10	E3	10	10	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-11-1	E3	11	1	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-11-2	E3	11	2	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-11-3	E3	11	3	1	1	0	0	1	NA	0	5	4	0	27	2	2	27	0	0	NA	0	27			
1	E3-11-4	E3	11	4	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-11-5	E3	11	5	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-11-6	E3	11	6	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-11-7	E3	11	7	1	1	1	0	1	1	0	1	3	0	108	7	2	108	592	28	14	592	699			
1	E3-11-8	E3	11	8	1	1	1	0	1	1	0	1	4	0	69	6	3	69	398	10	10	398	468			
1	E3-11-9	E3	11	9	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-11-10	E3	11	10	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-12-1	E3	12	1	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-12-2	E3	12	2	1	0	0	0	NA	NA	0	11	7	0	0	0	NA	0	0	0	NA	0	0			
1	E3-12-3	E3	12	3	1	1	1	0	1	1	0	6	5	0	282	3	3	282	326	NA	NA	326	608			
1	E3-12-4	E3	12	4	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-12-5	E3	12	5	1	1	1	0	1	1	0	1	3	0	41	5	1	41	65	16	6	65	106			
1	E3-12-6	E3	12	6	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-12-7	E3	12	7	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-12-8	E3	12	8	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-12-9	E3	12	9	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-12-10	E3	12	10	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-13-1	E3	13	1	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-13-2	E3	13	2	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-13-3	E3	13	3	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-13-4	E3	13	4	1	1	1	0	1	1	0	9	6	0	335	28	12	335	839	NA	NA	839	1174			
