Order	priority	region	ID	population	family	individual	FlowAfterGermFlAG	FlAGVernTimeExcluded	FlAGVernTime14d	FloweringafterbackshiftinLD	Flowering_binominal	duration
1	1	E	Pajares-2+14	Paj	1	2	153	56	70	22	1	84
2	1	E	E3-1-1	E3	1	1	146	49	63	15	1	49
3	1	E	E3-1-2	E3	1	2	151	54	68	20	1	60
4	1	E	E3-11-1	E3	11	1	149	52	66	18	1	58
5	1	E	E3-11-2	E3	11	2	149	52	66	18	1	52
6	1	E	E3-34-1	E3	34	1	149	52	66	18	1	123
7	1	E	E3-34-2	E3	34	2	151	54	68	20	1	67
8	1	E	E3-39-1	E3	39	1	146	49	63	15	1	42
9	1	E	E3-39-2	E3	39	2	149	52	66	18	1	31
10	1	E	E3-4-1	E3	4	1	149	52	66	18	1	46
11	1	E	E3-4-2	E3	4	2	146	49	63	15	1	119
12	1	E	E3-41b-1	E3	41b	1	146	49	63	15	1	82
13	1	E	E3-41b-2	E3	41b	2	153	56	70	22	1	55
14	1	E	E3-42.5-1	E3	42.5	1	149	52	66	18	1	46
15	1	E	E3-42.5-2	E3	42.5	2	151	54	68	20	1	121
16	1	E	E3-42-1	E3	42	1	149	52	66	18	1	39
17	1	E	E3-42-2	E3	42	2	149	52	66	18	1	39
18	1	E	E3-55-1	E3	55	1	149	52	66	18	1	46
19	1	E	E3-55-2	E3	55	2	151	54	68	20	1	77
20	1	E	E3-E3-1-1	E3	1z	1	153	56	70	22	1	39
21	1	E	E3-E3-1-2	E3	1	2	NA	NA	NA	NA	0	NA
22	1	E	E3-E3-11-1	E3	11z	1	149	52	66	18	1	30
23	1	E	E3-E3-11-2	E3	11	2	NA	NA	NA	NA	0	NA
24	1	E	E3-E3-18-1	E3	18z	1	149	52	66	18	1	60
25	1	E	E3-E3-19-1	E3	19z	1	149	52	66	18	1	46
26	1	E	E3-E3-19-2	E3	19z	2	149	52	66	18	1	52
27	1	E	E3-E3-21-1	E3	21z	1	146	49	63	15	1	63
28	1	E	E3-E3-21-2	E3	21z	2	149	52	66	18	1	39
29	1	E	E3-E3-24-1	E3	24z	1	151	54	68	20	1	67
30	1	E	E3-E3-24-2	E3	24z	2	NA	NA	NA	NA	0	NA
31	1	E	E3-E3-4-1	E3	4z	1	149	52	66	18	1	60
32	1	E	E3-E3-4-2	E3	4z	2	NA	NA	NA	NA	0	NA
33	1	E	E3-E3-8-1	E3	8z	1	149	52	66	18	1	60
34	1	E	E3-E3-8-2	E3	8z	2	NA	NA	NA	NA	0	NA
35	1	E	E3-S3-1	E3	S3	1	149	52	66	18	1	46
36	1	E	E3-S3-2	E3	S3	2	151	54	68	20	1	86
37	1	E	E3-S4-1	E3	S4	1	146	49	63	15	1	42
38	1	E	E3-S4-2	E3	S4	1	146	49	63	15	1	63
39	1	E	E4-1-2	E4	1	2	146	49	63	15	1	63
40	1	E	E4-27-1	E4	27	1	146	49	63	15	1	42
41	1	E	E4-27-2	E4	27	2	146	49	63	15	1	49
42	1	E	E4-37-1	E4	37	1	153	56	70	22	1	16
43	1	E	E4-37-2	E4	37	2	153	56	70	22	1	35
44	1	E	E4-41-1	E4	41	1	160	63	77	29	1	20
45	1	E	E4-41-2	E4	41	2	NA	NA	NA	NA	0	NA
46	1	E	E4-42-1	E4	42	1	149	52	66	18	1	39
47	1	E	E4-42-2	E4	42	2	NA	NA	NA	NA	0	NA
48	1	E	E4-45-1	E4	45	1	149	52	66	18	1	49
49	1	E	E4-45-2	E4	45	2	149	52	66	18	1	39
50	1	E	E4-48-1	E4	48	1	149	52	66	18	1	39
51	1	E	E4-52-1	E4	52	1	146	49	63	15	1	42
52	1	E	E4-52-2	E4	52	2	151	54	68	20	1	44
53	1	E	E4-57-1	E4	57	1	146	49	63	15	1	34
54	1	E	E4-57-2	E4	57	2	149	52	66	18	1	31
55	1	E	E4-61-1	E4	61	1	149	52	66	18	1	39
56	1	E	E4-62-1	E4	62	1	149	52	66	18	1	31
57	1	E	E4-64-1	E4	64	1	149	52	66	18	1	68
58	1	E	E4-67-1	E4	67	1	149	52	66	18	1	46
59	1	E	E4-67-2	E4	67	2	149	52	66	18	1	52
60	1	E	E4-72-1	E4	72	1	149	52	66	18	1	39
61	1	E	E4-72-2	E4	72	2	153	56	70	22	1	42
62	1	E	E4-74-1	E4	74	1	NA	NA	NA	NA	0	NA
63	1	E	E4-74-2	E4	74	2	146	49	63	15	1	49
64	1	E	E4-75-1	E4	75	1	146	49	63	15	1	42
65	1	E	E4-76-1	E4	76	1	146	49	63	15	1	34
66	1	E	E4-76-2	E4	76	2	149	52	66	18	1	46
67	1	F	F1-GAL-100b_l-1	F1GAL	100b_l	1	146	49	63	15	1	126
68	1	F	F1-GAL-100b_l-2	F1GAL	100b_l	2	146	49	63	15	1	126
69	1	F	F1-GAL-10-1	F1GAL	10	1	146	49	63	15	1	126
70	1	F	F1-GAL-10-2	F1GAL	10	2	146	49	63	15	1	126
71	1	F	F1-GAL-102.3-1	F1GAL	102.3	1	146	49	63	15	1	126
72	1	F	F1-GAL-102.3-2	F1GAL	102.3	2	144	47	61	13	1	128
73	1	F	F1-GAL-106'-1	F1GAL	106'	1	146	49	63	15	1	126
74	1	F	F1-GAL-106'-2	F1GAL	106'	2	144	47	61	13	1	128
75	1	F	F1-GAL-110-1	F1GAL	110	1	144	47	61	13	1	128
76	1	F	F1-GAL-110-2	F1GAL	110	2	144	47	61	13	1	128
77	1	F	F1-GAL-112-1	F1GAL	112	1	144	47	61	13	1	128
78	1	F	F1-GAL-112-2	F1GAL	112	2	146	49	63	15	1	126
79	1	F	F1-GAL-119-1	F1GAL	119	1	144	47	61	13	1	128
80	1	F	F1-GAL-119-2	F1GAL	119	2	149	52	66	18	1	123
81	1	F	F1-GAL-122-1	F1GAL	122	1	149	52	66	18	1	123
82	1	F	F1-GAL-122-2	F1GAL	122	2	151	54	68	20	1	121
83	1	F	F1-GAL-132-1	F1GAL	132	1	149	52	66	18	1	123
84	1	F	F1-GAL-132-2	F1GAL	132	2	149	52	66	18	1	123
85	1	F	F1-GAL-139-2	F1GAL	139	2	146	49	63	15	1	126
86	1	F	F1-GAL-16b-1	F1GAL	16b	1	149	52	66	18	1	123
87	1	F	F1-GAL-16b-2	F1GAL	16b	2	151	54	68	20	1	121
88	1	F	F1-GAL-20-1	F1GAL	20	1	146	49	63	15	1	126
89	1	F	F1-GAL-20-2	F1GAL	20	2	149	52	66	18	1	123
90	1	F	F1-GAL-33-5_s-1	F1GAL	33-5_s	1	146	49	63	15	1	126
91	1	F	F1-GAL-33-5-s_2	F1GAL	33-5_s	2	149	52	66	18	1	123
92	1	F	F1-GAL-37-1	F1GAL	37	1	149	52	66	18	1	123
93	1	F	F1-GAL-37-2	F1GAL	37	2	149	52	66	18	1	123
94	1	F	F1-GAL-3b-1	F1GAL	3b	1	144	47	61	13	1	128
95	1	F	F1-GAL-3b-2	F1GAL	3b	2	144	47	61	13	1	128
96	1	F	F1-GAL-401-2	F1GAL	401	2	151	54	68	20	1	121
97	1	F	F1-GAL-5-5_s-1	F1GAL	5-5_s	1	144	47	61	13	1	128
98	1	F	F1-GAL-5-5_s-2	F1GAL	5-5_s	2	146	49	63	15	1	126
99	1	F	F1-GAL-78-1	F1GAL	78	1	177	80	94	46	1	95
100	1	F	F1-GAL-78-2	F1GAL	78	2	149	52	66	18	1	123
101	1	F	F1-GAL-79-1	F1GAL	79	1	149	52	66	18	1	123
102	1	F	F1-GAL-79-2	F1GAL	79	2	146	49	63	15	1	126
103	1	F	F1-GAL-97b-1	F1GAL	97b	1	149	52	66	18	1	123
104	1	F	F1-GAL-97b-2	F1GAL	97b	2	144	47	61	13	1	128
105	1	F	F1-GAL-98.1-1	F1GAL	98.1	1	146	49	63	15	1	126
106	1	F	F1-GAL-98.1-2	F1GAL	98.1	2	144	47	61	13	1	128
107	1	F	F1-GAL-S14-1	F1GAL	S14	1	144	47	61	13	1	128
108	1	F	F1-GAL-S14-2	F1GAL	S14	2	144	47	61	13	1	128
109	1	F	F1-GAL-S17-1	F1GAL	S17	1	184	87	101	53	1	88
110	1	F	F1-GAL-S17-2	F1GAL	S17	2	144	47	61	13	1	128
111	1	F	F1-GAL-S20-1_s-1	F1GAL	S20-1_s	1	144	47	61	13	1	128
112	1	F	F1-GAL-S20-1_s-2	F1GAL	S20-1_s	2	144	47	61	13	1	128
113	1	F	F1-GAL-S24-8_s-1	F1GAL	S24-8_s	1	146	49	63	15	1	126
114	1	F	F1-GAL-S24-8_s-2	F1GAL	S24-8_s	2	144	47	61	13	1	128
115	1	F	F1-GAL-S5-1_s-1	F1GAL	S5-1_s	1	144	47	61	13	1	128
116	1	F	F1-GAL-S5-1_s-2	F1GAL	S5-1_s	2	146	49	63	15	1	126
117	1	F	F1-GAL-S6-1	F1GAL	S6	1	149	52	66	18	1	123
118	1	F	F1-PIC-156-1	F1PIC	156	1	149	52	66	18	1	123
119	1	F	F1-PIC-156-2	F1PIC	156	2	149	52	66	18	1	123
120	1	F	F1-PIC-161.2-1	F1PIC	161-2	1	151	54	68	20	1	33
121	1	F	F1-PIC-161.2-2	F1PIC	161-2	2	156	59	73	25	1	61
122	1	F	F1-PIC-162-1	F1PIC	162	1	146	49	63	15	1	126
123	1	F	F1-PIC-166-1	F1PIC	166	1	163	66	80	32	1	25
