Order	priority	region	ID	population	family	individual	FlowAfterGermFlAG	FlAGVernTimeExcluded	FlAGVernTime14d	FloweringafterbackshiftinLD	Flowering_binominal	duration	still_flowering_at_end	use_for_duration
1	1	E	Pajares-2+14	Paj	1	2	153	56	70	22	1	84	237	1
2	1	E	E3-1-1	E3	1	1	146	49	63	15	1	49	195	1
3	1	E	E3-1-2	E3	1	2	151	54	68	20	1	60	211	1
4	1	E	E3-11-1	E3	11	1	149	52	66	18	1	58	207	1
5	1	E	E3-11-2	E3	11	2	149	52	66	18	1	52	201	1
6	1	E	E3-34-1	E3	34	1	149	52	66	18	1	123	272	0
7	1	E	E3-34-2	E3	34	2	151	54	68	20	1	67	218	1
8	1	E	E3-39-1	E3	39	1	146	49	63	15	1	42	188	1
9	1	E	E3-39-2	E3	39	2	149	52	66	18	1	31	180	1
10	1	E	E3-4-1	E3	4	1	149	52	66	18	1	46	195	1
11	1	E	E3-4-2	E3	4	2	146	49	63	15	1	119	265	1
12	1	E	E3-41b-1	E3	41b	1	146	49	63	15	1	82	228	1
13	1	E	E3-41b-2	E3	41b	2	153	56	70	22	1	55	208	1
14	1	E	E3-42.5-1	E3	42.5	1	149	52	66	18	1	46	195	1
15	1	E	E3-42.5-2	E3	42.5	2	151	54	68	20	1	121	272	0
16	1	E	E3-42-1	E3	42	1	149	52	66	18	1	39	188	1
17	1	E	E3-42-2	E3	42	2	149	52	66	18	1	39	188	1
18	1	E	E3-55-1	E3	55	1	149	52	66	18	1	46	195	1
19	1	E	E3-55-2	E3	55	2	151	54	68	20	1	77	228	1
20	1	E	E3-E3-1-1	E3	1z	1	153	56	70	22	1	39	192	1
21	1	E	E3-E3-1-2	E3	1	2	NA	NA	NA	NA	0	NA	NA	0
22	1	E	E3-E3-11-1	E3	11z	1	149	52	66	18	1	30	179	1
23	1	E	E3-E3-11-2	E3	11	2	NA	NA	NA	NA	0	NA	NA	0
24	1	E	E3-E3-18-1	E3	18z	1	149	52	66	18	1	60	209	1
25	1	E	E3-E3-19-1	E3	19z	1	149	52	66	18	1	46	195	1
26	1	E	E3-E3-19-2	E3	19z	2	149	52	66	18	1	52	201	1
27	1	E	E3-E3-21-1	E3	21z	1	146	49	63	15	1	63	209	1
28	1	E	E3-E3-21-2	E3	21z	2	149	52	66	18	1	39	188	1
29	1	E	E3-E3-24-1	E3	24z	1	151	54	68	20	1	67	218	1
30	1	E	E3-E3-24-2	E3	24z	2	NA	NA	NA	NA	0	NA	NA	0
31	1	E	E3-E3-4-1	E3	4z	1	149	52	66	18	1	60	209	1
32	1	E	E3-E3-4-2	E3	4z	2	NA	NA	NA	NA	0	NA	NA	0
33	1	E	E3-E3-8-1	E3	8z	1	149	52	66	18	1	60	209	1
34	1	E	E3-E3-8-2	E3	8z	2	NA	NA	NA	NA	0	NA	NA	0
35	1	E	E3-S3-1	E3	S3	1	149	52	66	18	1	46	195	1
36	1	E	E3-S3-2	E3	S3	2	151	54	68	20	1	86	237	1
37	1	E	E3-S4-1	E3	S4	1	146	49	63	15	1	42	188	1
38	1	E	E3-S4-2	E3	S4	1	146	49	63	15	1	63	209	1
39	1	E	E4-1-2	E4	1	2	146	49	63	15	1	63	209	1
40	1	E	E4-27-1	E4	27	1	146	49	63	15	1	42	188	1
41	1	E	E4-27-2	E4	27	2	146	49	63	15	1	49	195	1
42	1	E	E4-37-1	E4	37	1	153	56	70	22	1	16	169	1
43	1	E	E4-37-2	E4	37	2	153	56	70	22	1	35	188	1
44	1	E	E4-41-1	E4	41	1	160	63	77	29	1	20	180	1
45	1	E	E4-41-2	E4	41	2	NA	NA	NA	NA	0	NA	NA	0
46	1	E	E4-42-1	E4	42	1	149	52	66	18	1	39	188	1
47	1	E	E4-42-2	E4	42	2	NA	NA	NA	NA	0	NA	NA	0
48	1	E	E4-45-1	E4	45	1	149	52	66	18	1	49	198	1
49	1	E	E4-45-2	E4	45	2	149	52	66	18	1	39	188	1
50	1	E	E4-48-1	E4	48	1	149	52	66	18	1	39	188	1
51	1	E	E4-52-1	E4	52	1	146	49	63	15	1	42	188	1
52	1	E	E4-52-2	E4	52	2	151	54	68	20	1	44	195	1
