Experiment	subsets	priority	region	country	ID	population	family	individual	FlowAfterGerm_original	FlowAfterGerm_max	FlowAfterGerm_max209	flowering-early	flowering-late	Flowering_binominal
1	2014	1	0	IP	E	E1	E1	4	1	NA	182	NA	0	0	0
2	2014	1	0	IP	E	E1	E1	4	2	NA	182	NA	0	0	0
3	2014	1	0	IP	E	E1	E1	4	3	NA	182	NA	0	0	0
4	2014	1	0	IP	E	E1	E1	4	4	NA	182	NA	0	0	0
5	2014	1	0	IP	E	E1	E1	4	5	NA	182	NA	0	0	0
6	2014	1	0	IP	E	E1	E1	4	6	NA	182	NA	0	0	0
7	2014	1	0	IP	E	E1	E1	4	7	NA	182	NA	0	0	0
8	2014	1	0	IP	E	E1	E1	4	8	NA	182	NA	0	0	0
9	2014	1	0	IP	E	E1	E1	8	1	NA	182	NA	0	0	0
10	2014	1	0	IP	E	E1	E1	8	2	NA	182	NA	0	0	0
11	2014	1	0	IP	E	E1	E1	8	3	NA	182	NA	0	0	0
12	2014	1	0	IP	E	E1	E1	8	4	NA	182	NA	0	0	0
13	2014	1	0	IP	E	E1	E1	8	5	NA	182	NA	0	0	0
14	2014	1	0	IP	E	E1	E1	8	6	NA	182	NA	0	0	0
15	2014	1	0	IP	E	E1	E1	8	7	NA	182	NA	0	0	0
16	2014	1	0	IP	E	E1	E1	8	8	NA	182	NA	0	0	0
17	2014	1	0	IP	E	E1	E1	18'	1	NA	182	NA	0	0	0
18	2014	1	0	IP	E	E1	E1	18'	2	NA	182	NA	0	0	0
19	2014	1	0	IP	E	E1	E1	18'	3	NA	182	NA	0	0	0
20	2014	1	0	IP	E	E1	E1	18'	4	NA	182	NA	0	0	0
21	2014	1	0	IP	E	E1	E1	18'	5	NA	182	NA	0	0	0
22	2014	1	0	IP	E	E1	E1	18'	6	NA	182	NA	0	0	0
23	2014	1	0	IP	E	E1	E1	22	1	NA	182	NA	0	0	0
24	2014	1	0	IP	E	E1	E1	22	2	NA	182	NA	0	0	0
25	2014	1	0	IP	E	E1	E1	30	1	NA	182	NA	0	0	0
26	2014	1	0	IP	E	E1	E1	30	2	NA	182	NA	0	0	0
27	2014	1	0	IP	E	E1	E1	30	3	NA	182	NA	0	0	0
28	2014	1	0	IP	E	E1	E1	36	1	NA	182	NA	0	0	0
29	2014	1	0	IP	E	E1	E1	36	2	NA	182	NA	0	0	0
30	2014	1	0	IP	E	E1	E1	36	3	NA	182	NA	0	0	0
31	2014	1	0	IP	E	E1	E1	36	4	NA	182	NA	0	0	0
32	2014	1	0	IP	E	E1	E1	36	5	NA	182	NA	0	0	0
33	2014	1	0	IP	E	E1	E1	40	1	NA	182	NA	0	0	0
34	2014	1	0	IP	E	E1	E1	40	2	NA	182	NA	0	0	0
35	2014	1	0	IP	E	E1	E1	40	3	NA	182	NA	0	0	0
